Neighbourhood,Indicator,Year,Forecast,MAE,RMSE,Model
Sloterdijk,Population| Age group |0 tot 15 year,2027,55.0,0.0,0.0,Drift
Sloterdijk,Population| Age group |0 tot 15 year,2028,55.0,0.0,0.0,Drift
Sloterdijk III West,Population| Age group |0 tot 15 year,2026,5.0,8.881784197001252e-16,8.881784197001252e-16,EXP
Sloterdijk III West,Population| Age group |0 tot 15 year,2027,5.0,8.881784197001252e-16,8.881784197001252e-16,EXP
Sloterdijk III West,Population| Age group |0 tot 15 year,2028,5.0,8.881784197001252e-16,8.881784197001252e-16,EXP
Slotermeer Zuid,Population| Age group |0 tot 15 year,2026,552.4446606059016,14.999999776482582,14.999999776482582,EXP
Slotermeer Zuid,Population| Age group |0 tot 15 year,2027,552.4446606059016,14.999999776482582,14.999999776482582,EXP
Slotermeer Zuid,Population| Age group |0 tot 15 year,2028,552.4446606059016,14.999999776482582,14.999999776482582,EXP
Slotermeer-Noordoost,Population| Age group |0 tot 15 year,2026,1814.9999994039536,23.333333084980648,27.38612765307864,EXP
Slotermeer-Noordoost,Population| Age group |0 tot 15 year,2027,1814.9999994039536,23.333333084980648,27.38612765307864,EXP
Slotermeer-Noordoost,Population| Age group |0 tot 15 year,2028,1814.9999994039536,23.333333084980648,27.38612765307864,EXP
Slotermeer-Zuidwest,Population| Age group |0 tot 15 year,2026,3256.311498273907,134.99999798834324,134.99999798834324,EXP
Slotermeer-Zuidwest,Population| Age group |0 tot 15 year,2027,3256.311498273907,134.99999798834324,134.99999798834324,EXP
Slotermeer-Zuidwest,Population| Age group |0 tot 15 year,2028,3256.311498273907,134.99999798834324,134.99999798834324,EXP
Sloterpark,Population| Age group |0 tot 15 year,2026,16.0,12.777777777777777,14.41771030262331,Drift
Sloterpark,Population| Age group |0 tot 15 year,2027,17.0,12.777777777777777,14.41771030262331,Drift
Sloterpark,Population| Age group |0 tot 15 year,2028,18.0,12.777777777777777,14.41771030262331,Drift
Slotervaart Noord,Population| Age group |0 tot 15 year,2026,1464.999999627471,24.99999962747097,24.99999962747097,EXP
Slotervaart Noord,Population| Age group |0 tot 15 year,2027,1464.999999627471,24.99999962747097,24.99999962747097,EXP
Slotervaart Noord,Population| Age group |0 tot 15 year,2028,1464.999999627471,24.99999962747097,24.99999962747097,EXP
Slotervaart Zuid,Population| Age group |0 tot 15 year,2026,1799.6057429258376,24.99999962747097,24.99999962747097,EXP
Slotervaart Zuid,Population| Age group |0 tot 15 year,2027,1799.6057429258376,24.99999962747097,24.99999962747097,EXP
Slotervaart Zuid,Population| Age group |0 tot 15 year,2028,1799.6057429258376,24.99999962747097,24.99999962747097,EXP
Sloterweg e.o.,Population| Age group |0 tot 15 year,2026,65.01747686923557,3.433562242544525,4.086172284176752,EXP
Sloterweg e.o.,Population| Age group |0 tot 15 year,2027,65.01747686923557,3.433562242544525,4.086172284176752,EXP
Sloterweg e.o.,Population| Age group |0 tot 15 year,2028,65.01747686923557,3.433562242544525,4.086172284176752,EXP
Spaarndammer- en Zeeheldenbuurt,Population| Age group |0 tot 15 year,2026,1345.1353966689517,49.99999925494194,49.99999925494194,EXP
Spaarndammer- en Zeeheldenbuurt,Population| Age group |0 tot 15 year,2027,1345.1353966689517,49.99999925494194,49.99999925494194,EXP
