Districts & Neigbourhoods,Type of region,Regioncode,Total population,Man,Woman,Population| Age group |0 tot 15 year,Population| Age group |15 tot 25 year,Population| Age group |25 tot 45 year,Population| Age group |45 tot 65 year,Population| Age group |65+ year,Births,Deaths,Total households,Single-person households,Households without children,Households with children,Average household size,Care|Young people receiving youth care,Healthcare|Wmo clients,ZIPcode,Year,children_0_15,youth_15_25,families_children,elderly_65_plus,single_households_ind,youth_care_users,wmo_users,youth_care_rate,wmo_rate,children_0_15_growth,youth_15_25_growth,elderly_65_plus_growth,families_children_growth,single_households_ind_growth
Frederik Hendrikbuurt Zuidoost,Neighbourhood,BU03631601,3290.0,1740.0,1550.0,285.0,225.0,1685.0,765.0,330.0,45.0,25.0,2110.0,1410.0,440.0,260.0,1.5,45.0,260.0,1052.0,2020,285.0,225.0,260.0,330.0,1410.0,45.0,260.0,13.677811550151976,79.0273556231003,,,,,
Frederik Hendrikbuurt Zuidoost,Neighbourhood,BU03631601,3300.0,1770.0,1535.0,295.0,255.0,1630.0,780.0,340.0,30.0,30.0,2095.0,1365.0,455.0,270.0,1.5,50.0,235.0,1052.0,2021,295.0,255.0,270.0,340.0,1365.0,50.0,235.0,15.151515151515152,71.21212121212122,0.03508771929824572,0.1333333333333333,0.030303030303030276,0.03846153846153855,-0.03191489361702127
Frederik Hendrikbuurt Zuidoost,Neighbourhood,BU03631601,3245.0,1745.0,1500.0,265.0,255.0,1620.0,755.0,345.0,35.0,45.0,2095.0,1415.0,435.0,245.0,1.5,50.0,255.0,1052.0,2022,265.0,255.0,245.0,345.0,1415.0,50.0,255.0,15.408320493066256,78.58243451463791,-0.10169491525423724,0.0,0.014705882352941124,-0.09259259259259256,0.03663003663003672
Frederik Hendrikbuurt Zuidoost,Neighbourhood,BU03631601,3300.0,1770.0,1535.0,295.0,255.0,1630.0,780.0,340.0,30.0,30.0,2095.0,1365.0,455.0,270.0,1.5,50.0,235.0,1052.0,2025,295.0,255.0,270.0,340.0,1365.0,50.0,235.0,15.151515151515152,71.21212121212122,0.1132075471698113,0.0,-0.01449275362318836,0.1020408163265305,-0.035335689045936425
Frederik Hendrikbuurt Zuidwest,Neighbourhood,BU03631602,1135.0,565.0,575.0,110.0,90.0,335.0,385.0,215.0,10.0,10.0,680.0,375.0,165.0,140.0,1.7,15.0,85.0,1052.0,2020,110.0,90.0,140.0,215.0,375.0,15.0,85.0,13.215859030837004,74.8898678414097,,,,,
Frederik Hendrikbuurt Zuidwest,Neighbourhood,BU03631602,1115.0,565.0,550.0,95.0,90.0,335.0,370.0,215.0,5.0,25.0,680.0,380.0,175.0,125.0,1.6,20.0,175.0,1052.0,2021,95.0,90.0,125.0,215.0,380.0,20.0,175.0,17.937219730941703,156.95067264573993,-0.13636363636363635,0.0,0.0,-0.1071428571428571,0.01333333333333342
Frederik Hendrikbuurt Zuidwest,Neighbourhood,BU03631602,1205.0,600.0,610.0,85.0,100.0,340.0,375.0,310.0,10.0,30.0,700.0,400.0,180.0,120.0,1.6,15.0,180.0,1052.0,2022,85.0,100.0,120.0,310.0,400.0,15.0,180.0,12.448132780082986,149.37759336099586,-0.10526315789473684,0.11111111111111116,0.44186046511627897,-0.040000000000000036,0.05263157894736836
Frederik Hendrikbuurt Zuidwest,Neighbourhood,BU03631602,1115.0,565.0,550.0,95.0,90.0,335.0,370.0,215.0,5.0,25.0,680.0,380.0,175.0,125.0,1.6,20.0,175.0,1052.0,2025,95.0,90.0,125.0,215.0,380.0,20.0,175.0,17.937219730941703,156.95067264573993,0.11764705882352944,-0.09999999999999998,-0.30645161290322576,0.04166666666666674,-0.050000000000000044
Frederik Hendrikbuurt-Noord,Neighbourhood,BU0363EJ01,3820.0,1830.0,1990.0,350.0,390.0,1735.0,865.0,480.0,35.0,20.0,2370.0,1380.0,620.0,370.0,1.6,65.0,190.0,1052.0,2023,350.0,390.0,370.0,480.0,1380.0,65.0,190.0,17.015706806282722,49.738219895287955,,,,,
Frederik Hendrikbuurt-Noord,Neighbourhood,BU0363EJ01,3855.0,1865.0,1990.0,350.0,390.0,1795.0,840.0,480.0,45.0,25.0,2405.0,1410.0,620.0,375.0,1.6,60.0,205.0,1052.0,2024,350.0,390.0,375.0,480.0,1410.0,60.0,205.0,15.56420233463035,53.177691309987026,0.0,0.0,0.0,0.013513513513513598,0.021739130434782705
